density_percent,algorithm,samples,unique_nodes,min_memory_kb,median_memory_kb,max_memory_kb
0,BFS,2000,100,1.03125,43.59375,44.4375
0,DFS_Iterative,2000,100,0.359375,42.7734375,43.0234375
5,BFS,2000,100,1.03125,43.25,49.328125
5,DFS_Iterative,2000,100,0.359375,88.6171875,254.796875
10,BFS,2000,100,1.03125,43.1875,49.328125
10,DFS_Iterative,2000,100,0.359375,141.703125,474.828125
15,BFS,2000,100,1.03125,43.125,49.328125
15,DFS_Iterative,2000,100,0.359375,186.484375,658.8828125
20,BFS,2000,100,1.03125,43.125,49.328125
20,DFS_Iterative,2000,100,0.359375,250.265625,823.078125
25,BFS,2000,100,1.03125,43.09375,49.328125
25,DFS_Iterative,2000,100,0.359375,292.109375,1030.921875
30,BFS,2000,100,1.03125,43.09375,49.328125
30,DFS_Iterative,2000,100,0.359375,341.046875,1293.953125
35,BFS,2000,100,1.03125,43.09375,49.328125
35,DFS_Iterative,2000,100,0.359375,400.609375,1450.609375
40,BFS,2000,100,1.03125,43.09375,49.328125
40,DFS_Iterative,2000,100,0.359375,446.171875,1626.8828125
45,BFS,2000,100,1.03125,43.09375,49.328125
45,DFS_Iterative,2000,100,0.359375,497.4375,1825.140625
50,BFS,2000,100,1.03125,43.09375,49.328125
50,DFS_Iterative,2000,100,0.359375,555.109375,2048.203125
55,BFS,2000,100,1.03125,43.09375,49.328125
55,DFS_Iterative,2000,100,0.359375,585.640625,2299.1640625
60,BFS,2000,100,1.03125,43.09375,49.328125
60,DFS_Iterative,2000,100,0.359375,654.328125,2581.453125
65,BFS,2000,100,1.03125,43.09375,49.328125
65,DFS_Iterative,2000,100,0.359375,731.609375,2581.453125
70,BFS,2000,100,1.03125,43.09375,49.328125
70,DFS_Iterative,2000,100,0.359375,775.078125,2899.046875
75,BFS,2000,100,1.03125,43.09375,49.328125
75,DFS_Iterative,2000,100,0.359375,818.546875,3256.359375
80,BFS,2000,100,1.03125,43.09375,49.328125
80,DFS_Iterative,2000,100,0.359375,867.46484375,3256.3828125
85,BFS,2000,100,1.03125,43.09375,49.328125
85,DFS_Iterative,2000,100,0.359375,916.359375,3658.328125
90,BFS,2000,100,1.03125,43.09375,49.328125
90,DFS_Iterative,2000,100,0.359375,971.375,3658.328125
95,BFS,2000,100,1.03125,43.09375,49.328125
95,DFS_Iterative,2000,100,0.359375,1026.390625,4110.546875
100,BFS,2000,100,1.03125,43.09375,49.328125
100,DFS_Iterative,2000,100,0.359375,1088.28125,4110.546875
